"name","itemId","price","currentPrice","brandName","sellerName","ratingScore","itemSold","location","image","itemUrl"
"Xiaomi Redmi 20000mAh Portable Power Bank – Fast Charging Battery Pack for All Devices","1957243902","844","Rs. 844","No Brand","AS Gadgets",0,10,"Sindh","https://static-01.daraz.pk/p/040f6a3bacfeb7d233603c703f5bf256.png","https://www.daraz.pk/products/20000mah-i1957243902.html"
"Router PowerBank 12volt | Universal WiFi UPS | 8 Hours Backup","946202966","1851.88","Rs. 1,852","No Brand","AuraMart_",4.77,50,"Sindh","https://pk-live-21.slatic.net/kf/S644f580f77e545a6b47e58952c8cd66ec.jpg","https://www.daraz.pk/products/12-8-i946202966.html"
"Different size ofLCD Display DIY Battery Case Power Bank Shell Portable External Box Without Battery Powerbank (Before order wartch video or talk with seller)","1954111008","1109","Rs. 1,109","No Brand","ViralMart",0,0,"Sindh","https://pk-live-21.slatic.net/kf/S413e1b65c6664e02850013a4b55b246fT.jpg","https://www.daraz.pk/products/different-size-oflcd-display-diy-battery-case-power-bank-shell-portable-external-box-without-battery-powerbank-before-order-wartch-video-or-talk-with-seller-i1954111008.html"
"Xiaomi Redmi 20000mAh Portable Power Bank – Fast Charging Battery Pack for All Devices","1951234278","804","Rs. 804","No Brand","AS ENTERPRISE'S",4.4,54,"Sindh","https://static-01.daraz.pk/p/736449e3c3067dc2f81a52299d0cad4d.png","https://www.daraz.pk/products/20000mah-i1951234278.html"
"Bolt PowerBank B151/B155- 120W PD Fast Charging, 20,000mAh Capacity, Portable Power Bank with Multiple Device Compatibility","932709320","1299","Rs. 1,299","Bolt","Jerify Super Mart ",5,6,"Khyber Pakhtunkhwa","https://pk-live-21.slatic.net/kf/S5ad9ba1c24af4d21842fa1519b07b7f20.jpg","https://www.daraz.pk/products/b151b155-120w-pd-20000mah-i932709320.html"
"⚡🔋 Super Speed Charging Power Bank – powerbank – power bank – power bank 20000 mah – Mi 20000mAh Portable Powerbank with Dual USB Output, High Capacity Backup Charger for Android and All Other Devices & Travel Use","1957888253","1399","Rs. 1,399","No Brand","ELECTRO WORLD_0",0,7,"Sindh","https://static-01.daraz.pk/p/341411afa8cc723eac06ad58fc1874ba.png","https://www.daraz.pk/products/20000-mi-20000mah-usb-i1957888253.html"
"Portable Charger Power Bank 50000mAh Battery Pack, 22.5W Fast Charging PowerBank with Built in Cables,Travel Essential USB-C Portable Phone Charger, Compatible for  Samsung Pixel Android","1954566636","1999","Rs. 1,999","No Brand","MegaModule",0,0,"Punjab","https://static-01.daraz.pk/p/86d28a03f3eb953936fdfe68cbd7cfc4.jpg","https://www.daraz.pk/products/50000mah-225w-usb-c-i1954566636.html"
"PowerBank For Router 12Volt | Router Power Bank 20000mAh | WiFi Router Backup UPS | Support 9V & 12V Devices | Easy Plug & Play Installation","946747619","1855.65","Rs. 1,856","No Brand","AuraBaxaar",4.24,158,"Sindh","https://pk-live-21.slatic.net/kf/Scdc79143c85b4d7d97779ddfc5aa4c3bQ.jpg","https://www.daraz.pk/products/12-20000-9v-12v-i946747619.html"
"MI 20000mah powerbank with dual ports Android & type c phones (no cable included) Quick Charge","946055180","1250","Rs. 1,250","No Brand","LAKHANI TRADER'S",5,0,"Sindh","https://static-01.daraz.pk/p/cd81dbff0c00b6042c1ac7be7f5a0d01.jpg","https://www.daraz.pk/products/mi-20000mah-c-i946055180.html"
"Kamal K131 130000mAh Power Bank 180W Fast Charging Portable LED Display Powerbank","1951894906","12499","Rs. 12,499","No Brand","ChargeMart",5,11,"Khyber Pakhtunkhwa","https://static-01.daraz.pk/p/af74097ddf4efce37743f580e671f161.jpg","https://www.daraz.pk/products/k131-130000mah-180-led-i1951894906.html"
"PD Power Bank  Slim & Smart Power Banks  High Quality Original 20000mAh Power Bank With 22.5W Superfast Charge Power Banks  Type C Input- Dual Output (Type C & USB)  Light Weight Power Bank  Loud PB510 Power Bank","1951079175","1899","Rs. 1,899","No Brand","Nexaro",0,0,"Punjab","https://static-01.daraz.pk/p/5b9204c7621a5403d486da235269c29e.png","https://www.daraz.pk/products/pd-20000mah-225w-c-c-usb-pb510-i1951079175.html"
